"NUMBER","INETSDESC","UNITS","UNITWEIGHT","PRICE1","DELDATE","DISCONT","INETIMAGE","CANTSELL"
"EPTURP              ","Turtle Prayer poster                                                                                                    ","599","0.03","1.25",,0,"EPTURP.jpg                              ",0
"EPVIR               ","Virgo zodiac poster                                                                                                     ","159","0.03","1.25",,0,"EPVIR.JPG                               ",0
"EPWATD              ","Water Dragon poster                                                                                                     ","426","0.03","1.25",,0,"EPWATD.jpg                              ",0
"EPWHE2              ","Wheel of the Year poster                                                                                                ","128","0.03","1.25",,0,"EPWHE2.jpg                              ",0
"EPWIC               ","Wiccan Rede (law) poster                                                                                                ","523","0.03","1.25",,0,"EPWIC.JPG                               ",0
"EPWICP              ","Wiccan Rede(long poem) poster                                                                                           ","500","0.02","1.25",,0,"EPWICP.JPG                              ",0
"EPWIT               ","Witches' Alphabet poster                                                                                                ","385","0.02","1.25",,0,"EPWIT.JPG                               ",0
"EPWITR              ","Witches' Rune poster                                                                                                    ","452","0.02","1.25",,0,"EPWITR.JPG                              ",0
"EPWOLP              ","Wolf Prayer poster                                                                                                      ","527","0.03","1.25",,0,"EPWOLP.jpg                              ",0
"EPYOU               ","Your Magick Wand poster                                                                                                 ","432","0.02","1.255",,0,"EPYOU.jpg                               ",0
"ESCEL               ","Celtic Pentagram patch 3""                                                                                               ","23","0.01","6.95",,0,"ESCEL.JPG                               ",0
